Code	Name
1138	SPRIBE
1020	WM Casino
1038	King855/CT855 (K9)
1191	King855/CT855(K0) 
1058	BGaming
1102	KA Gaming
1070	Booongo
1097	Funta Gaming
1111	Gaming World
1098	Felix Gaming
1065	KIRON
1055	Mr Slotty
1064	Net Game
1067	Red Rake
1062	Fazi
1101	ZeusPlay
1060	Volt Entertainment
1148	WOW Gaming
1149	AI LIVE CASINO
1022	Sexy Gaming
1033	SV388
1139	FASTSPIN
1050	PlayStar
1009	CQ9
1011	Play Tech
1016	YEE Bet
1007	PG Soft (Direct)
1046	IBC-SABA
1006	Pragmatic Play
1091	jili 
1161	Tada
1012	SBO
1052	Dream Gaming
1085	JDB
1049	Evoplay
1040	WBET
1153	Hacksaw
1154	Bigpot
1018	Live22
1157	IMOON
1004	Big Gaming
1160	EPICWIN
1163	NOVOMATIC
1162	Octoplay
1165	aviatrix
1164	DIGITAIN
1079	Fachai
1170	smartsoft
1172	World Entertainment
1183	FB SPORT
1002	Evolution（ASIA）
1168	Netent（ASIA）
1169	Red Tiger（ASIA）
1166	no limit city （ASIA）
1167	big time gaming （ASIA）
1173	Evolution (LATAM)
1174	Netent (LATAM)
1175	Red Tiger (LATAM)
1176	no limit city (LATAM)
1177	big time gaming(LATAM)
1184	Rich88
1185	SA Gaming
1115	BOOMING GAMES
1192	AMIGO GAMING
1193	FB Games
1197	Habanero
1203	PlayAce
1221	SPADE GAMING
1204	ADVANTPLAY
1222	TF Gaming 
1220	ASTAR
please check and you have to compare product_id and game_type_id and correctly create GameTypeProductTableSeeder
code	name	GameType
1138	(product_id - 1) SPRIBE	(Other - game_type_id - 13) 
1020	(product_id - 2)WM Casino	Live Casino - game_type_id - 2
1038	(product_id - 3)King855/CT855 (K9)	Live Casino - game_type_id - 2
1191	(product_id - 4)King855/CT855(K0) 	Live Casino - game_type_id - 2
1058	(product_id - 5)BGaming	Slots   - game_type_id - 1
1102	(product_id - 6)KA Gaming	Slots - game_type_id - 1
1070	(product_id - 7)Booongo	Slots
1097	(product_id - 8)Funta Gaming	(Slots -game_type_id - 1) | (Fishing - game_type_id - 8)
1111	(product_id - 9)Gaming World	Slots - game_type_id - 1
1098	(product_id - 10)Felix Gaming	Slots - game_type_id - 1
1065	(product_id - 11)1KIRON	Slots -  game_type_id - 1
1055	(product_id - 12)Mr Slotty	Slots game_type_id - 1
1064	(product_id - 13)Net Game	Slots | Fishing - (Slots -game_type_id - 1) | (Fishing - game_type_id - 8)
1067	(product_id - 14)Red Rake	Slots - game_type_id - 1
1062	(product_id - 15)Fazi	Slots - game_type_id - 1
1101	(product_id - 16)ZeusPlay	Slots - game_type_id - 1
1060	(product_id - 17)Volt Entertainment	Slots - game_type_id - 1
1148	(product_id - 18)WOW Gaming	(Poker - game_type_id - 12) | (Slots - game_type_id -1  |  (P2P - game_type_id - 7)
1149	(product_id - 19)AI LIVE CASINO	(Live Casino - game_type_id - 2) | (Poker - game_type_id -12)
1022	(product_id - 20)Sexy Gaming	Live Casino - game_type_id - 2
1033	(product_id - 21)SV388	COCK_FIGHTING - game_type_id - 9
1139	(product_id - 22)FASTSPIN	(Slots - game_type_id -1) | (Fishing - game_type_id - 8) 
1050	(product_id - 23)PlayStar	Slots - game_type_id -1
1009	(product_id - 24)CQ9	(Slots - game_type_id 1) | (Fishing - game_type_id - 8) 
1011	(product_id - 25)Play Tech	(Live Casino - game_type_id - 2) | (Slots - game_type_id - 1)
